# peaceable queens on Z_15^2 exact exhaustive certificate
# target=21 profiles=247 estimated_A=6074753568
profile	S	fixed	r	c	d	a	relative_sign	pair_orbits	pair_hash_fnv64	A_per_orbit	A_checked	triple_pass	dfs_calls	dfs_nodes	result	seconds
5,5,5,5	20	RC	5	5	5	5	1	1620	f7e531e7e53f5ad3	3003	4864860	1	1	7	UNSAT	0.023504
5,5,5,6	21	RC	5	5	6	5	0	2655	c1c49103ced33014	3003	7972965	1	1	7	UNSAT	0.036033
4,6,6,6	22	DA	6	6	6	4	0	7261	1595e57dac187179	1365	9911265	10	4	44	UNSAT	0.048166
5,5,5,7	22	RC	5	5	7	5	0	2655	c1c49103ced33014	3003	7972965	1	1	7	UNSAT	0.036383
5,5,6,6	22	RC	5	5	6	6	1	1620	f7e531e7e53f5ad3	5005	8108100	23	20	180	UNSAT	0.054754
5,6,5,6	22	RC	5	6	6	5	0	8633	31b329cbff467c22	3003	25924899	33	28	304	UNSAT	0.135551
4,6,6,7	23	RC	4	6	7	6	0	3981	76355b44967c9bf6	5005	19924905	5	4	44	UNSAT	0.106770
4,7,6,6	23	DA	6	6	7	4	0	7261	1595e57dac187179	1365	9911265	10	4	44	UNSAT	0.066573
5,5,5,8	23	RC	5	5	8	5	0	2655	c1c49103ced33014	3003	7972965	1	1	7	UNSAT	0.037727
5,5,6,7	23	RC	5	5	7	6	0	2655	c1c49103ced33014	5005	13288275	23	20	180	UNSAT	0.077895
5,6,5,7	23	RC	5	6	7	5	0	8633	31b329cbff467c22	3003	25924899	33	28	304	UNSAT	0.157015
5,6,6,6	23	DA	6	6	6	5	0	7261	1595e57dac187179	3003	21804783	407	92	914	UNSAT	0.118652
3,7,7,7	24	DA	7	7	7	3	0	11793	282e1d887d70ceec	455	5365815	0	0	0	UNSAT	0.028963
4,6,6,8	24	RC	4	6	8	6	0	3981	76355b44967c9bf6	5005	19924905	5	4	44	UNSAT	0.107069
4,6,7,7	24	DA	7	7	6	4	0	11793	282e1d887d70ceec	1365	16097445	528	48	544	UNSAT	0.094798
4,7,6,7	24	DA	6	7	7	4	0	18297	e03398f06ec6ffbc	1365	24975405	32	13	123	UNSAT	0.156768
4,8,6,6	24	DA	6	6	8	4	0	7261	1595e57dac187179	1365	9911265	10	4	44	UNSAT	0.046934
5,5,5,9	24	RC	5	5	9	5	0	2655	c1c49103ced33014	3003	7972965	1	1	7	UNSAT	0.056184
5,5,6,8	24	RC	5	5	8	6	0	2655	c1c49103ced33014	5005	13288275	23	20	180	UNSAT	0.059851
5,5,7,7	24	RC	5	5	7	7	1	1620	f7e531e7e53f5ad3	6435	10424700	178	116	936	UNSAT	0.065250
5,6,5,8	24	RC	5	6	8	5	0	8633	31b329cbff467c22	3003	25924899	33	28	304	UNSAT	0.141037
5,6,6,7	24	RC	5	6	7	6	0	8633	31b329cbff467c22	5005	43208165	655	282	2518	UNSAT	0.249730
5,7,5,7	24	RC	5	7	7	5	0	11008	c5e7f5c75a69b244	3003	33057024	238	138	1224	UNSAT	0.195401
5,7,6,6	24	DA	6	6	7	5	0	7261	1595e57dac187179	3003	21804783	407	92	918	UNSAT	0.121608
6,6,6,6	24	RC	6	6	6	6	1	4411	06ca83b69694c83c	5005	22077055	16380	282	3524	UNSAT	0.127428
3,7,7,8	25	DA	7	8	7	3	0	23359	a97604c366e19324	455	10628345	0	0	0	UNSAT	0.076483
3,8,7,7	25	DA	7	7	8	3	0	11793	282e1d887d70ceec	455	5365815	0	0	0	UNSAT	0.056174
4,6,6,9	25	DA	6	9	6	4	0	14343	e97617894e2d888a	1365	19578195	3065	68	806	UNSAT	0.122674
4,6,7,8	25	RC	4	6	8	7	0	3981	76355b44967c9bf6	6435	25617735	46	34	288	UNSAT	0.138070
4,7,6,8	25	DA	6	8	7	4	0	18297	1f0a7941a57742e2	1365	24975405	294	32	336	UNSAT	0.158025
4,7,7,7	25	DA	7	7	7	4	0	11793	282e1d887d70ceec	1365	16097445	528	48	596	UNSAT	0.098118
4,8,6,7	25	DA	6	7	8	4	0	18297	e03398f06ec6ffbc	1365	24975405	32	13	107	UNSAT	0.137454
4,9,6,6	25	DA	6	6	9	4	0	7261	1595e57dac187179	1365	9911265	10	10	114	UNSAT	0.066602
5,5,5,10	25	RC	5	5	10	5	0	2655	c1c49103ced33014	3003	7972965	1	1	7	UNSAT	0.036236
5,5,6,9	25	RC	5	5	9	6	0	2655	c1c49103ced33014	5005	13288275	23	23	199	UNSAT	0.079086
5,5,7,8	25	RC	5	5	8	7	0	2655	c1c49103ced33014	6435	17084925	194	121	887	UNSAT	0.093936
5,6,5,9	25	RC	5	6	9	5	0	8633	31b329cbff467c22	3003	25924899	33	31	295	UNSAT	0.137167
5,6,6,8	25	RC	5	6	8	6	0	8633	31b329cbff467c22	5005	43208165	655	297	2477	UNSAT	0.249554
5,6,7,7	25	RC	5	6	7	7	1	5257	6172c73f61c9e45f	6435	33828795	11021	1046	10202	UNSAT	0.189798
5,7,5,8	25	RC	5	7	8	5	0	11008	c5e7f5c75a69b244	3003	33057024	238	138	1010	UNSAT	0.188748
5,7,6,7	25	DA	6	7	7	5	0	18297	e03398f06ec6ffbc	3003	54945891	12923	278	3060	UNSAT	0.307646
5,8,6,6	25	DA	6	6	8	5	0	7261	1595e57dac187179	3003	21804783	407	107	1579	UNSAT	0.119653
6,6,6,7	25	RC	6	6	7	6	0	7261	1595e57dac187179	5005	36341305	23978	605	9279	UNSAT	0.200749
3,7,7,9	26	DA	7	9	7	3	0	18297	33168adf84e970e5	455	8325135	8	0	0	UNSAT	0.046337
3,7,8,8	26	DA	8	8	7	3	0	11793	84cde4b26851b806	455	5365815	19	0	0	UNSAT	0.049192
3,8,7,8	26	DA	7	8	8	3	0	23359	a97604c366e19324	455	10628345	0	0	0	UNSAT	0.077693
3,9,7,7	26	DA	7	7	9	3	0	11793	282e1d887d70ceec	455	5365815	0	0	0	UNSAT	0.029655
4,6,6,10	26	DA	6	10	6	4	0	8633	0cef8c5ffd5b7912	1365	11784045	27028	89	1045	UNSAT	0.074643
4,6,7,9	26	RC	4	6	7	9	0	3981	76355b44967c9bf6	5005	19924905	3184	227	2631	UNSAT	0.106936
4,6,8,8	26	DA	8	8	6	4	0	11793	84cde4b26851b806	1365	16097445	395848	255	4581	UNSAT	0.098197
4,7,6,9	26	DA	6	9	7	4	0	14343	e97617894e2d888a	1365	19578195	3065	76	938	UNSAT	0.113706
4,7,7,8	26	DA	7	8	7	4	0	23359	a97604c366e19324	1365	31885035	21320	187	3073	UNSAT	0.190908
4,8,6,8	26	DA	6	8	8	4	0	18297	1f0a7941a57742e2	1365	24975405	294	35	365	UNSAT	0.137320
4,8,7,7	26	DA	7	7	8	4	0	11793	282e1d887d70ceec	1365	16097445	528	58	740	UNSAT	0.094927
4,9,6,7	26	RC	4	9	7	6	0	3981	7e825e9e366f1dc2	5005	19924905	3184	85	1025	UNSAT	0.110255
4,10,6,6	26	RC	4	10	6	6	1	1614	bbfd1ea70864a272	5005	8078070	19516	89	1141	UNSAT	0.054903
5,5,5,11	26	RC	5	5	5	11	0	2655	c1c49103ced33014	1365	3624075	296845	0	0	UNSAT	0.019223
5,5,6,10	26	RC	5	5	6	10	0	2655	c1c49103ced33014	3003	7972965	77765	766	6546	UNSAT	0.036617
5,5,7,9	26	RC	5	5	7	9	0	2655	c1c49103ced33014	5005	13288275	10342	701	6635	UNSAT	0.085396
5,5,8,8	26	RC	5	5	8	8	1	1620	f7e531e7e53f5ad3	6435	10424700	1067	389	3413	UNSAT	0.064547
5,6,5,10	26	DA	5	10	6	5	0	5201	17f888870facb4ae	3003	15618603	146753	536	5568	UNSAT	0.093278
5,6,6,9	26	DA	6	9	6	5	0	14343	e97617894e2d888a	3003	43072029	3537994	1265	20733	UNSAT	0.285919
5,6,7,8	26	RC	5	6	8	7	0	8633	31b329cbff467c22	6435	55553355	14521	1445	15859	UNSAT	0.306741
5,7,5,9	26	DA	5	9	7	5	0	8633	3290a132bf957a55	3003	25924899	17699	492	5636	UNSAT	0.135626
5,7,6,8	26	DA	6	8	7	5	0	18297	1f0a7941a57742e2	3003	54945891	358674	733	11125	UNSAT	0.309156
5,7,7,7	26	DA	7	7	7	5	0	11793	282e1d887d70ceec	3003	35414379	442056	977	17173	UNSAT	0.201548
5,8,5,8	26	RC	5	8	8	5	0	11008	c24bac136c5e8076	3003	33057024	1579	208	1806	UNSAT	0.190542
5,8,6,7	26	DA	6	7	8	5	0	18297	e03398f06ec6ffbc	3003	54945891	12923	366	5378	UNSAT	0.304954
5,9,6,6	26	DA	6	6	9	5	0	7261	1595e57dac187179	3003	21804783	407	228	3218	UNSAT	0.116737
6,6,6,8	26	RC	6	6	8	6	0	7261	1595e57dac187179	5005	36341305	23978	927	19053	UNSAT	0.199029
6,6,7,7	26	RC	6	6	7	7	1	4411	06ca83b69694c83c	6435	28384785	746303	1712	47580	UNSAT	0.169666
6,7,6,7	26	RC	6	7	7	6	0	18297	e03398f06ec6ffbc	5005	91576485	2339238	2721	46497	UNSAT	0.525892
3,7,7,10	27	DA	7	10	7	3	0	11008	3a2eea05824d8f2e	455	5008640	65	0	0	UNSAT	0.046739
3,7,8,9	27	DA	8	9	7	3	0	18297	1a59c9576d18456f	455	8325135	486	0	0	UNSAT	0.044980
3,8,7,9	27	DA	7	9	8	3	0	18297	33168adf84e970e5	455	8325135	8	0	0	UNSAT	0.064969
3,8,8,8	27	DA	8	8	8	3	0	11793	84cde4b26851b806	455	5365815	19	2	30	UNSAT	0.030976
3,9,7,8	27	RC	3	9	8	7	0	1374	5123845dc05d37a0	6435	8841690	38	0	0	UNSAT	0.059271
3,10,7,7	27	RC	3	10	7	7	1	562	d5744e06d1254a54	6435	3616470	170	0	0	UNSAT	0.016461
4,6,6,11	27	RC	4	6	6	11	0	3981	76355b44967c9bf6	1365	5434065	141980	194	582	UNSAT	0.026600
4,6,7,10	27	RC	4	6	7	10	0	3981	76355b44967c9bf6	3003	11954943	27441	335	3415	UNSAT	0.074246
4,6,8,9	27	RC	4	6	8	9	0	3981	76355b44967c9bf6	5005	19924905	3184	327	3281	UNSAT	0.107284
4,7,6,10	27	DA	6	10	7	4	0	8633	0cef8c5ffd5b7912	1365	11784045	27028	118	1448	UNSAT	0.075000
4,7,7,9	27	DA	7	9	7	4	0	18297	33168adf84e970e5	1365	24975405	370470	497	8581	UNSAT	0.141182
4,7,8,8	27	DA	8	8	7	4	0	11793	84cde4b26851b806	1365	16097445	395848	479	9659	UNSAT	0.099038
4,8,6,9	27	DA	6	9	8	4	0	14343	e97617894e2d888a	1365	19578195	3065	110	1222	UNSAT	0.111110
4,8,7,8	27	DA	7	8	8	4	0	23359	a97604c366e19324	1365	31885035	21320	374	5666	UNSAT	0.189310
4,9,6,8	27	RC	4	9	8	6	0	3981	7e825e9e366f1dc2	5005	19924905	3184	147	1473	UNSAT	0.107007
4,9,7,7	27	DA	7	7	9	4	0	11793	282e1d887d70ceec	1365	16097445	528	98	1412	UNSAT	0.094043
4,10,6,7	27	RC	4	10	7	6	0	2402	ef17332cf79070f2	5005	12022010	27588	97	1347	UNSAT	0.072470
4,11,6,6	27	RC	4	11	6	6	1	822	d72f0091b3407164	5005	4114110	108916	88	268	UNSAT	0.019215
5,5,6,11	27	RC	5	5	6	11	0	2655	c1c49103ced33014	1365	3624075	296845	410	1250	UNSAT	0.019484
5,5,7,10	27	RC	5	5	7	10	0	2655	c1c49103ced33014	3003	7972965	77765	953	8169	UNSAT	0.055247
5,5,8,9	27	RC	5	5	8	9	0	2655	c1c49103ced33014	5005	13288275	10342	899	8173	UNSAT	0.082151
5,6,5,11	27	DA	5	11	6	5	0	2402	7c0412d2591ec2af	3003	7213206	586321	523	1681	UNSAT	0.037615
5,6,6,10	27	RC	5	6	6	10	0	8633	31b329cbff467c22	3003	25924899	10041733	4720	43396	UNSAT	0.227943
5,6,7,9	27	RC	5	6	7	9	0	8633	31b329cbff467c22	5005	43208165	3555836	6286	96248	UNSAT	0.280493
5,6,8,8	27	RC	5	6	8	8	1	5257	6172c73f61c9e45f	6435	33828795	236669	5022	65254	UNSAT	0.193209
5,7,5,10	27	DA	5	10	7	5	0	5201	17f888870facb4ae	3003	15618603	146753	562	5892	UNSAT	0.090065
5,7,6,9	27	DA	6	9	7	5	0	14343	e97617894e2d888a	3003	43072029	3537994	2613	39243	UNSAT	0.287291
5,7,7,8	27	DA	7	8	7	5	0	23359	a97604c366e19324	3003	70147077	11506520	8210	134478	UNSAT	0.522704
5,8,5,9	27	DA	5	9	8	5	0	8633	3290a132bf957a55	3003	25924899	17699	627	6487	UNSAT	0.160357
5,8,6,8	27	DA	6	8	8	5	0	18297	1f0a7941a57742e2	3003	54945891	358674	2124	31226	UNSAT	0.312555
5,8,7,7	27	DA	7	7	8	5	0	11793	282e1d887d70ceec	3003	35414379	442056	2594	41846	UNSAT	0.201942
5,9,6,7	27	RC	5	9	7	6	0	8633	3290a132bf957a55	5005	43208165	3555836	4026	67440	UNSAT	0.285095
5,10,6,6	27	RC	5	10	6	6	1	3175	ff38947d0d9692d5	5005	15890875	6142489	3055	29541	UNSAT	0.134391
6,6,6,9	27	RC	6	6	9	6	0	7261	1595e57dac187179	5005	36341305	23978	2718	42238	UNSAT	0.198629
6,6,7,8	27	RC	6	6	8	7	0	7261	1595e57dac187179	6435	46724535	1216213	9192	177130	UNSAT	0.275430
6,7,6,8	27	RC	6	7	8	6	0	18297	e03398f06ec6ffbc	5005	91576485	2339238	11608	190516	UNSAT	0.528716
6,7,7,7	27	DA	7	7	7	6	0	11793	282e1d887d70ceec	5005	59023965	19050788	19133	359413	UNSAT	0.530594
3,7,8,10	28	DA	8	10	7	3	0	11008	cb362ae4b14fc2f4	455	5008640	5788	0	0	UNSAT	0.048232
3,7,9,9	28	DA	9	9	7	3	0	7261	58757c892803b6da	455	3303755	8204	1	7	UNSAT	0.018573
3,8,7,10	28	DA	7	10	8	3	0	11008	3a2eea05824d8f2e	455	5008640	65	0	0	UNSAT	0.027858
3,8,8,9	28	DA	8	9	8	3	0	18297	1a59c9576d18456f	455	8325135	486	10	188	UNSAT	0.064999
3,9,7,9	28	RC	3	9	7	9	0	1374	5123845dc05d37a0	5005	6876870	17101	0	0	UNSAT	0.031615
3,9,8,8	28	DA	8	8	9	3	0	11793	84cde4b26851b806	455	5365815	19	9	117	UNSAT	0.049433
3,10,7,8	28	RC	3	10	8	7	0	832	60be10b7a5417cfb	6435	5353920	173	0	0	UNSAT	0.024756
4,6,7,11	28	RC	4	6	7	11	0	3981	76355b44967c9bf6	1365	5434065	141980	154	462	UNSAT	0.027642
4,6,8,10	28	RC	4	6	8	10	0	3981	76355b44967c9bf6	3003	11954943	27441	434	3792	UNSAT	0.074709
4,6,9,9	28	DA	9	9	6	4	0	7261	58757c892803b6da	1365	9911265	7339570	1128	5804	UNSAT	0.119201
4,7,6,11	28	DA	6	11	7	4	0	3981	191d5612d3ae7586	1365	5434065	141980	96	294	UNSAT	0.048290
4,7,7,10	28	DA	7	10	7	4	0	11008	3a2eea05824d8f2e	1365	15025920	2009856	940	8042	UNSAT	0.111624
4,7,8,9	28	DA	8	9	7	4	0	18297	1a59c9576d18456f	1365	24975405	5629011	3178	38438	UNSAT	0.213248
4,8,6,10	28	DA	6	10	8	4	0	8633	0cef8c5ffd5b7912	1365	11784045	27028	228	2286	UNSAT	0.076957
4,8,7,9	28	DA	7	9	8	4	0	18297	33168adf84e970e5	1365	24975405	370470	1756	23342	UNSAT	0.145655
