# peaceable queens on Z_15^2 exact exhaustive certificate
# target=21 profiles=247 estimated_A=6074753568
profile	S	fixed	r	c	d	a	relative_sign	pair_orbits	pair_hash_fnv64	A_per_orbit	A_checked	triple_pass	dfs_calls	dfs_nodes	result	seconds
5,5,5,5	20	RC	5	5	5	5	1	1620	f7e531e7e53f5ad3	3003	4864860	1	1	7	UNSAT	0.022648
5,5,5,6	21	RC	5	5	6	5	0	2655	c1c49103ced33014	3003	7972965	1	1	7	UNSAT	0.036764
4,6,6,6	22	DA	6	6	6	4	0	7261	1595e57dac187179	1365	9911265	10	4	44	UNSAT	0.049730
5,5,5,7	22	RC	5	5	7	5	0	2655	c1c49103ced33014	3003	7972965	1	1	7	UNSAT	0.036076
5,5,6,6	22	RC	5	5	6	6	1	1620	f7e531e7e53f5ad3	5005	8108100	23	20	180	UNSAT	0.036217
5,6,5,6	22	RC	5	6	6	5	0	8633	31b329cbff467c22	3003	25924899	33	28	304	UNSAT	0.118310
4,6,6,7	23	RC	4	6	7	6	0	3981	76355b44967c9bf6	5005	19924905	5	4	44	UNSAT	0.092713
4,7,6,6	23	DA	6	6	7	4	0	7261	1595e57dac187179	1365	9911265	10	4	44	UNSAT	0.048706
5,5,5,8	23	RC	5	5	8	5	0	2655	c1c49103ced33014	3003	7972965	1	1	7	UNSAT	0.037397
5,5,6,7	23	RC	5	5	7	6	0	2655	c1c49103ced33014	5005	13288275	23	20	180	UNSAT	0.060820
5,6,5,7	23	RC	5	6	7	5	0	8633	31b329cbff467c22	3003	25924899	33	28	304	UNSAT	0.121074
5,6,6,6	23	DA	6	6	6	5	0	7261	1595e57dac187179	3003	21804783	407	92	914	UNSAT	0.100762
3,7,7,7	24	DA	7	7	7	3	0	11793	282e1d887d70ceec	455	5365815	0	0	0	UNSAT	0.030543
4,6,6,8	24	RC	4	6	8	6	0	3981	76355b44967c9bf6	5005	19924905	5	4	44	UNSAT	0.090675
4,6,7,7	24	DA	7	7	6	4	0	11793	282e1d887d70ceec	1365	16097445	528	48	544	UNSAT	0.077909
4,7,6,7	24	DA	6	7	7	4	0	18297	e03398f06ec6ffbc	1365	24975405	32	13	123	UNSAT	0.121677
4,8,6,6	24	DA	6	6	8	4	0	7261	1595e57dac187179	1365	9911265	10	4	44	UNSAT	0.047478
5,5,5,9	24	RC	5	5	9	5	0	2655	c1c49103ced33014	3003	7972965	1	1	7	UNSAT	0.036359
5,5,6,8	24	RC	5	5	8	6	0	2655	c1c49103ced33014	5005	13288275	23	20	180	UNSAT	0.059085
5,5,7,7	24	RC	5	5	7	7	1	1620	f7e531e7e53f5ad3	6435	10424700	178	116	936	UNSAT	0.046201
5,6,5,8	24	RC	5	6	8	5	0	8633	31b329cbff467c22	3003	25924899	33	28	304	UNSAT	0.119083
