canonical	oriented	S	r	c	d0	d1	a0	a1	sign	pair_orbits	A_per_orbit	A_checked	triple_pass	dfs_calls	dfs_nodes	result	seconds
6,6,0,6,0,6	6,6,0,6,0,6	24	6	6	0	6	0	6	1	10132	28	283696	0	0	0	UNSAT	0.004035
6,6,0,6,0,6	6,6,6,0,6,0	24	6	6	6	0	6	0	1	10132	28	283696	0	0	0	UNSAT	0.003778
6,6,0,6,1,5	6,6,1,5,0,6	24	6	6	1	5	0	6	0	16496	28	461888	0	0	0	UNSAT	0.006499
6,6,0,6,1,5	6,6,5,1,6,0	24	6	6	5	1	6	0	0	16496	28	461888	0	0	0	UNSAT	0.006047
6,6,0,6,2,4	6,6,2,4,0,6	24	6	6	2	4	0	6	0	16496	28	461888	0	0	0	UNSAT	0.006242
6,6,0,6,2,4	6,6,4,2,6,0	24	6	6	4	2	6	0	0	16496	28	461888	0	0	0	UNSAT	0.006020
6,6,0,6,3,3	6,6,3,3,0,6	24	6	6	3	3	0	6	0	16496	28	461888	0	0	0	UNSAT	0.006029
6,6,0,6,3,3	6,6,3,3,6,0	24	6	6	3	3	6	0	0	16496	28	461888	0	0	0	UNSAT	0.006300
6,6,1,5,1,5	6,6,1,5,1,5	24	6	6	1	5	1	5	1	10132	448	4539136	0	0	0	UNSAT	0.027050
6,6,1,5,1,5	6,6,5,1,5,1	24	6	6	5	1	5	1	1	10132	448	4539136	0	0	0	UNSAT	0.033960
6,6,1,5,2,4	6,6,2,4,1,5	24	6	6	2	4	1	5	0	16496	448	7390208	0	0	0	UNSAT	0.032290
6,6,1,5,2,4	6,6,4,2,5,1	24	6	6	4	2	5	1	0	16496	448	7390208	0	0	0	UNSAT	0.051740
6,6,1,5,3,3	6,6,3,3,1,5	24	6	6	3	3	1	5	0	16496	448	7390208	0	0	0	UNSAT	0.031105
6,6,1,5,3,3	6,6,3,3,5,1	24	6	6	3	3	5	1	0	16496	448	7390208	0	0	0	UNSAT	0.030743
6,6,2,4,2,4	6,6,2,4,2,4	24	6	6	2	4	2	4	1	10132	1960	19858720	0	0	0	UNSAT	0.098769
6,6,2,4,2,4	6,6,4,2,4,2	24	6	6	4	2	4	2	1	10132	1960	19858720	0	0	0	UNSAT	0.142393
6,6,2,4,3,3	6,6,3,3,2,4	24	6	6	3	3	2	4	0	16496	1960	32332160	0	0	0	UNSAT	0.165343
6,6,2,4,3,3	6,6,3,3,4,2	24	6	6	3	3	4	2	0	16496	1960	32332160	0	0	0	UNSAT	0.181085
6,6,3,3,3,3	6,6,3,3,3,3	24	6	6	3	3	3	3	1	10132	3136	31773952	0	0	0	UNSAT	0.192872
7,7,0,5,0,5	7,7,0,5,0,5	24	7	7	0	5	0	5	1	18076	56	1012256	0	0	0	UNSAT	0.007931
7,7,0,5,0,5	7,7,5,0,5,0	24	7	7	5	0	5	0	1	18076	56	1012256	0	0	0	UNSAT	0.007757
7,7,0,5,1,4	7,7,1,4,0,5	24	7	7	1	4	0	5	0	32666	56	1829296	0	0	0	UNSAT	0.014314
7,7,0,5,1,4	7,7,4,1,5,0	24	7	7	4	1	5	0	0	32666	56	1829296	0	0	0	UNSAT	0.034151
7,7,1,4,1,4	7,7,1,4,1,4	24	7	7	1	4	1	4	1	18076	560	10122560	0	0	0	UNSAT	0.041778
7,7,1,4,1,4	7,7,4,1,4,1	24	7	7	4	1	4	1	1	18076	560	10122560	0	0	0	UNSAT	0.062005
6,6,0,6,0,7	6,6,0,6,0,7	25	6	6	0	6	0	7	0	16496	8	131968	0	0	0	UNSAT	0.004113
6,6,0,6,0,7	6,6,6,0,7,0	25	6	6	6	0	7	0	0	16496	8	131968	0	0	0	UNSAT	0.004096
6,6,0,6,1,6	6,6,1,6,0,6	25	6	6	1	6	0	6	0	16496	28	461888	0	0	0	UNSAT	0.005445
6,6,0,6,1,6	6,6,6,1,6,0	25	6	6	6	1	6	0	0	16496	28	461888	0	0	0	UNSAT	0.005365
6,6,0,6,2,5	6,6,2,5,0,6	25	6	6	2	5	0	6	0	16496	28	461888	0	0	0	UNSAT	0.005341
6,6,0,6,2,5	6,6,5,2,6,0	25	6	6	5	2	6	0	0	16496	28	461888	0	0	0	UNSAT	0.005332
