canonical	oriented	S	r	c	d0	d1	a0	a1	sign	pair_orbits	A_per_orbit	A_checked	triple_pass	dfs_calls	dfs_nodes	result	seconds
6,6,0,6,0,6	6,6,0,6,0,6	24	6	6	0	6	0	6	1	10132	28	283696	0	0	0	UNSAT	0.003708
6,6,0,6,0,6	6,6,6,0,6,0	24	6	6	6	0	6	0	1	10132	28	283696	0	0	0	UNSAT	0.003480
6,6,0,6,1,5	6,6,1,5,0,6	24	6	6	1	5	0	6	0	16496	28	461888	0	0	0	UNSAT	0.005569
6,6,0,6,1,5	6,6,5,1,6,0	24	6	6	5	1	6	0	0	16496	28	461888	0	0	0	UNSAT	0.005540
6,6,0,6,2,4	6,6,2,4,0,6	24	6	6	2	4	0	6	0	16496	28	461888	0	0	0	UNSAT	0.005550
6,6,0,6,2,4	6,6,4,2,6,0	24	6	6	4	2	6	0	0	16496	28	461888	0	0	0	UNSAT	0.006277
6,6,0,6,3,3	6,6,3,3,0,6	24	6	6	3	3	0	6	0	16496	28	461888	0	0	0	UNSAT	0.006312
6,6,0,6,3,3	6,6,3,3,6,0	24	6	6	3	3	6	0	0	16496	28	461888	0	0	0	UNSAT	0.006319
6,6,1,5,1,5	6,6,1,5,1,5	24	6	6	1	5	1	5	1	10132	448	4539136	0	0	0	UNSAT	0.023206
6,6,1,5,1,5	6,6,5,1,5,1	24	6	6	5	1	5	1	1	10132	448	4539136	0	0	0	UNSAT	0.028407
6,6,1,5,2,4	6,6,2,4,1,5	24	6	6	2	4	1	5	0	16496	448	7390208	0	0	0	UNSAT	0.035299
6,6,1,5,2,4	6,6,4,2,5,1	24	6	6	4	2	5	1	0	16496	448	7390208	0	0	0	UNSAT	0.055033
6,6,1,5,3,3	6,6,3,3,1,5	24	6	6	3	3	1	5	0	16496	448	7390208	0	0	0	UNSAT	0.034888
6,6,1,5,3,3	6,6,3,3,5,1	24	6	6	3	3	5	1	0	16496	448	7390208	0	0	0	UNSAT	0.034578
6,6,2,4,2,4	6,6,2,4,2,4	24	6	6	2	4	2	4	1	10132	1960	19858720	0	0	0	UNSAT	0.102301
6,6,2,4,2,4	6,6,4,2,4,2	24	6	6	4	2	4	2	1	10132	1960	19858720	0	0	0	UNSAT	0.128172
6,6,2,4,3,3	6,6,3,3,2,4	24	6	6	3	3	2	4	0	16496	1960	32332160	0	0	0	UNSAT	0.199956
6,6,2,4,3,3	6,6,3,3,4,2	24	6	6	3	3	4	2	0	16496	1960	32332160	0	0	0	UNSAT	0.145726
6,6,3,3,3,3	6,6,3,3,3,3	24	6	6	3	3	3	3	1	10132	3136	31773952	0	0	0	UNSAT	0.170431
7,7,0,5,0,5	7,7,0,5,0,5	24	7	7	0	5	0	5	1	18076	56	1012256	0	0	0	UNSAT	0.009293
7,7,0,5,0,5	7,7,5,0,5,0	24	7	7	5	0	5	0	1	18076	56	1012256	0	0	0	UNSAT	0.009397
7,7,0,5,1,4	7,7,1,4,0,5	24	7	7	1	4	0	5	0	32666	56	1829296	0	0	0	UNSAT	0.016448
7,7,0,5,1,4	7,7,4,1,5,0	24	7	7	4	1	5	0	0	32666	56	1829296	0	0	0	UNSAT	0.014409
7,7,1,4,1,4	7,7,1,4,1,4	24	7	7	1	4	1	4	1	18076	560	10122560	0	0	0	UNSAT	0.066343
7,7,1,4,1,4	7,7,4,1,4,1	24	7	7	4	1	4	1	1	18076	560	10122560	0	0	0	UNSAT	0.069421
6,6,0,6,0,7	6,6,0,6,0,7	25	6	6	0	6	0	7	0	16496	8	131968	0	0	0	UNSAT	0.004407
6,6,0,6,0,7	6,6,6,0,7,0	25	6	6	6	0	7	0	0	16496	8	131968	0	0	0	UNSAT	0.004370
6,6,0,6,1,6	6,6,1,6,0,6	25	6	6	1	6	0	6	0	16496	28	461888	0	0	0	UNSAT	0.005562
6,6,0,6,1,6	6,6,6,1,6,0	25	6	6	6	1	6	0	0	16496	28	461888	0	0	0	UNSAT	0.015941
6,6,0,6,2,5	6,6,2,5,0,6	25	6	6	2	5	0	6	0	16496	28	461888	0	0	0	UNSAT	0.006460
6,6,0,6,2,5	6,6,5,2,6,0	25	6	6	5	2	6	0	0	16496	28	461888	0	0	0	UNSAT	0.006406
6,6,0,6,3,4	6,6,3,4,0,6	25	6	6	3	4	0	6	0	16496	28	461888	0	0	0	UNSAT	0.006344
6,6,0,6,3,4	6,6,4,3,6,0	25	6	6	4	3	6	0	0	16496	28	461888	0	0	0	UNSAT	0.006420
6,6,0,6,4,3	6,6,3,4,6,0	25	6	6	3	4	6	0	0	16496	28	461888	0	0	0	UNSAT	0.006433
6,6,0,6,4,3	6,6,4,3,0,6	25	6	6	4	3	0	6	0	16496	28	461888	0	0	0	UNSAT	0.006451
6,6,0,7,1,5	6,6,1,5,0,7	25	6	6	1	5	0	7	0	16496	8	131968	0	0	0	UNSAT	0.004876
6,6,0,7,1,5	6,6,5,1,7,0	25	6	6	5	1	7	0	0	16496	8	131968	0	0	0	UNSAT	0.004540
6,6,0,7,2,4	6,6,2,4,0,7	25	6	6	2	4	0	7	0	16496	8	131968	0	0	0	UNSAT	0.021906
6,6,0,7,2,4	6,6,4,2,7,0	25	6	6	4	2	7	0	0	16496	8	131968	0	0	0	UNSAT	0.004414
6,6,0,7,3,3	6,6,3,3,0,7	25	6	6	3	3	0	7	0	16496	8	131968	0	0	0	UNSAT	0.004370
6,6,0,7,3,3	6,6,3,3,7,0	25	6	6	3	3	7	0	0	16496	8	131968	0	0	0	UNSAT	0.004530
6,6,1,5,1,6	6,6,1,5,1,6	25	6	6	1	5	1	6	0	16496	224	3695104	0	0	0	UNSAT	0.017469
6,6,1,5,1,6	6,6,5,1,6,1	25	6	6	5	1	6	1	0	16496	224	3695104	0	0	0	UNSAT	0.017750
6,6,1,5,2,5	6,6,2,5,1,5	25	6	6	2	5	1	5	0	16496	448	7390208	0	0	0	UNSAT	0.053206
6,6,1,5,2,5	6,6,5,2,5,1	25	6	6	5	2	5	1	0	16496	448	7390208	0	0	0	UNSAT	0.031894
6,6,1,5,3,4	6,6,3,4,1,5	25	6	6	3	4	1	5	0	16496	448	7390208	0	0	0	UNSAT	0.063711
6,6,1,5,3,4	6,6,4,3,5,1	25	6	6	4	3	5	1	0	16496	448	7390208	0	0	0	UNSAT	0.036155
6,6,1,5,4,3	6,6,3,4,5,1	25	6	6	3	4	5	1	0	16496	448	7390208	0	0	0	UNSAT	0.038049
6,6,1,5,4,3	6,6,4,3,1,5	25	6	6	4	3	1	5	0	16496	448	7390208	0	0	0	UNSAT	0.052141
6,6,1,6,2,4	6,6,2,4,1,6	25	6	6	2	4	1	6	0	16496	224	3695104	0	0	0	UNSAT	0.021148
6,6,1,6,2,4	6,6,4,2,6,1	25	6	6	4	2	6	1	0	16496	224	3695104	0	0	0	UNSAT	0.019287
6,6,1,6,3,3	6,6,3,3,1,6	25	6	6	3	3	1	6	0	16496	224	3695104	0	0	0	UNSAT	0.038829
6,6,1,6,3,3	6,6,3,3,6,1	25	6	6	3	3	6	1	0	16496	224	3695104	0	0	0	UNSAT	0.017733
6,6,2,4,2,5	6,6,2,4,2,5	25	6	6	2	4	2	5	0	16496	1568	25865728	0	0	0	UNSAT	0.121775
6,6,2,4,2,5	6,6,4,2,5,2	25	6	6	4	2	5	2	0	16496	1568	25865728	0	0	0	UNSAT	0.129420
6,6,2,4,3,4	6,6,3,4,2,4	25	6	6	3	4	2	4	0	16496	1960	32332160	0	0	0	UNSAT	0.178136
6,6,2,4,3,4	6,6,4,3,4,2	25	6	6	4	3	4	2	0	16496	1960	32332160	0	0	0	UNSAT	0.165571
6,6,2,4,4,3	6,6,3,4,4,2	25	6	6	3	4	4	2	0	16496	1960	32332160	0	0	0	UNSAT	0.152367
6,6,2,4,4,3	6,6,4,3,2,4	25	6	6	4	3	2	4	0	16496	1960	32332160	0	0	0	UNSAT	0.165401
6,6,2,4,5,2	6,6,2,4,5,2	25	6	6	2	4	5	2	0	16496	1568	25865728	0	0	0	UNSAT	0.130838
6,6,2,4,5,2	6,6,4,2,2,5	25	6	6	4	2	2	5	0	16496	1568	25865728	0	0	0	UNSAT	0.148525
6,6,2,5,3,3	6,6,3,3,2,5	25	6	6	3	3	2	5	0	16496	1568	25865728	0	0	0	UNSAT	0.136386
6,6,2,5,3,3	6,6,3,3,5,2	25	6	6	3	3	5	2	0	16496	1568	25865728	0	0	0	UNSAT	0.157563
6,6,3,3,3,4	6,6,3,4,3,3	25	6	6	3	4	3	3	0	16496	3136	51731456	0	0	0	UNSAT	0.245188
6,6,3,3,3,4	6,6,4,3,3,3	25	6	6	4	3	3	3	0	16496	3136	51731456	0	0	0	UNSAT	0.263598
6,7,0,6,0,6	6,7,0,6,0,6	25	6	7	0	6	0	6	1	26876	28	752528	0	0	0	UNSAT	0.008877
6,7,0,6,0,6	6,7,6,0,6,0	25	6	7	6	0	6	0	1	26876	28	752528	0	0	0	UNSAT	0.011930
6,7,0,6,1,5	6,7,1,5,0,6	25	6	7	1	5	0	6	0	45996	28	1287888	0	0	0	UNSAT	0.015262
6,7,0,6,1,5	6,7,5,1,6,0	25	6	7	5	1	6	0	0	45996	28	1287888	0	0	0	UNSAT	0.015304
6,7,0,6,2,4	6,7,2,4,0,6	25	6	7	2	4	0	6	0	45996	28	1287888	0	0	0	UNSAT	0.039263
6,7,0,6,2,4	6,7,4,2,6,0	25	6	7	4	2	6	0	0	45996	28	1287888	0	0	0	UNSAT	0.017575
6,7,0,6,3,3	6,7,3,3,0,6	25	6	7	3	3	0	6	0	45996	28	1287888	0	0	0	UNSAT	0.018017
6,7,0,6,3,3	6,7,3,3,6,0	25	6	7	3	3	6	0	0	45996	28	1287888	0	0	0	UNSAT	0.016432
6,7,1,5,1,5	6,7,1,5,1,5	25	6	7	1	5	1	5	1	26876	448	12040448	0	0	0	UNSAT	0.068601
6,7,1,5,1,5	6,7,5,1,5,1	25	6	7	5	1	5	1	1	26876	448	12040448	0	0	0	UNSAT	0.075569
6,7,1,5,2,4	6,7,2,4,1,5	25	6	7	2	4	1	5	0	45996	448	20606208	0	0	0	UNSAT	0.121270
6,7,1,5,2,4	6,7,4,2,5,1	25	6	7	4	2	5	1	0	45996	448	20606208	0	0	0	UNSAT	0.112722
6,7,1,5,3,3	6,7,3,3,1,5	25	6	7	3	3	1	5	0	45996	448	20606208	0	0	0	UNSAT	0.109804
6,7,1,5,3,3	6,7,3,3,5,1	25	6	7	3	3	5	1	0	45996	448	20606208	0	0	0	UNSAT	0.115118
6,7,2,4,2,4	6,7,2,4,2,4	25	6	7	2	4	2	4	1	26876	1960	52676960	0	0	0	UNSAT	0.298032
6,7,2,4,2,4	6,7,4,2,4,2	25	6	7	4	2	4	2	1	26876	1960	52676960	0	0	0	UNSAT	0.260921
6,7,2,4,3,3	6,7,3,3,2,4	25	6	7	3	3	2	4	0	45996	1960	90152160	0	0	0	UNSAT	0.437961
6,7,2,4,3,3	6,7,3,3,4,2	25	6	7	3	3	4	2	0	45996	1960	90152160	0	0	0	UNSAT	0.475492
6,7,3,3,3,3	6,7,3,3,3,3	25	6	7	3	3	3	3	1	26876	3136	84283136	0	0	0	UNSAT	0.415556
7,7,0,5,0,6	7,7,0,5,0,6	25	7	7	0	5	0	6	0	32666	28	914648	0	0	0	UNSAT	0.011379
7,7,0,5,0,6	7,7,5,0,6,0	25	7	7	5	0	6	0	0	32666	28	914648	7	0	0	UNSAT	0.034167
7,7,0,5,1,5	7,7,1,5,0,5	25	7	7	1	5	0	5	0	32666	56	1829296	0	0	0	UNSAT	0.014740
7,7,0,5,1,5	7,7,5,1,5,0	25	7	7	5	1	5	0	0	32666	56	1829296	0	0	0	UNSAT	0.014731
7,7,0,5,2,4	7,7,2,4,0,5	25	7	7	2	4	0	5	0	32666	56	1829296	0	0	0	UNSAT	0.015119
7,7,0,5,2,4	7,7,4,2,5,0	25	7	7	4	2	5	0	0	32666	56	1829296	0	0	0	UNSAT	0.015072
