# profile	S	survives_sweep_domination	fix_pair	orbits_g7200	completions_per_orbit	completions	Q_needed
3,8,9,10	30	1	RC	1152	3003	3459456	169
3,9,8,10	30	1	RC	924	3003	2774772	169
3,9,9,9	30	1	RC	924	5005	4624620	165
3,10,8,9	30	1	RC	562	5005	2812810	169
4,6,9,11	30	1	RC	2668	1365	3641820	169
4,6,10,10	30	1	DA	1620	5005	8108100	165
4,7,8,11	30	1	RC	3334	1365	4550910	161
4,7,9,10	30	1	RC	3334	3003	10012002	153
4,8,7,11	30	1	RC	3334	1365	4550910	161
4,8,8,10	30	1	RC	3334	3003	10012002	149
4,8,9,9	30	1	RC	3334	5005	16686670	145
4,9,6,11	30	1	RC	2668	1365	3641820	169
4,9,7,10	30	1	RC	2668	3003	8012004	153
4,9,8,9	30	1	RC	2668	5005	13353340	145
4,10,6,10	30	1	RC	1614	3003	4846842	165
4,10,7,9	30	1	RC	1614	5005	8078070	153
4,10,8,8	30	1	RC	1614	6435	10386090	149
4,11,6,9	30	1	RC	822	5005	4114110	169
4,11,7,8	30	1	RC	822	6435	5289570	161
5,5,10,10	30	1	RC	1620	3003	4864860	161
5,6,9,10	30	1	RC	5257	3003	15786771	145
5,7,8,10	30	1	RC	6574	3003	19741722	137
5,7,9,9	30	1	DA	4411	6435	28384785	133
5,8,7,10	30	1	RC	6574	3003	19741722	137
5,8,8,9	30	1	RC	6574	5005	32902870	129
5,9,6,10	30	1	RC	5257	3003	15786771	145
5,9,7,9	30	1	RC	5257	5005	26311285	133
5,9,8,8	30	1	RC	5257	6435	33828795	129
5,10,5,10	30	1	RC	3175	3003	9534525	161
5,10,6,9	30	1	RC	3175	5005	15890875	145
5,10,7,8	30	1	RC	3175	6435	20431125	137
6,6,9,9	30	1	RC	4411	5005	22077055	129
6,7,8,9	30	1	RC	10908	5005	54594540	121
6,8,7,9	30	1	RC	10908	5005	54594540	121
6,8,8,8	30	1	DA	6892	6435	44350020	117
6,9,6,9	30	1	RC	8717	5005	43628585	129
6,9,7,8	30	1	RC	8717	6435	56093895	121
7,7,8,8	30	1	RC	6892	6435	44350020	113
7,8,7,8	30	1	RC	13654	6435	87863490	113
5,5,5,5	20	1	RC	1620	3003	4864860	-39
5,5,5,6	21	1	RC	1620	5005	8108100	-9
4,6,6,6	22	1	RC	2668	5005	13353340	21
5,5,5,7	22	1	RC	1620	6435	10424700	21
5,5,6,6	22	1	RC	1620	5005	8108100	17
5,6,5,6	22	1	RC	5257	5005	26311285	17
4,6,6,7	23	1	RC	2668	6435	17168580	47
4,7,6,6	23	1	RC	3334	5005	16686670	47
5,5,5,8	23	1	RC	1620	6435	10424700	51
5,5,6,7	23	1	RC	1620	6435	10424700	43
5,6,5,7	23	1	RC	5257	6435	33828795	43
5,6,6,6	23	1	DA	4411	5005	22077055	39
3,7,7,7	24	0	RC	1152	6435	7413120	81
4,6,6,8	24	1	RC	2668	6435	17168580	73
4,6,7,7	24	1	RC	2668	6435	17168580	69
4,7,6,7	24	1	RC	3334	6435	21454290	69
4,8,6,6	24	1	RC	3334	5005	16686670	73
5,5,5,9	24	1	RC	1620	5005	8108100	81
5,5,6,8	24	1	RC	1620	6435	10424700	69
